x y z nx ny nz
0.0425789221 -0.0065944652 -0.0132566501 0.9245780000 0.2822070000 -0.2559580000
-0.0160990779 0.0022275348 -0.0119566501 -0.9588560000 0.0195070000 -0.2832220000
-0.0140400779 -0.0011484652 -0.0117366501 -0.2960600000 -0.9548050000 -0.0263880000
0.0396079221 0.0022115348 -0.0138766501 0.9397650000 0.2155000000 -0.2653320000
-0.0154020779 0.0094345348 -0.0125526501 -0.9789880000 -0.0959340000 -0.1799410000
0.0385029221 0.0099305348 -0.0134036501 0.9727790000 0.0013030000 -0.2317320000
-0.0244740779 0.0198085348 -0.0118916501 -0.4685540000 -0.8547650000 -0.2232350000
-0.0208070779 0.0179435348 -0.0116236501 -0.6624210000 -0.7450060000 -0.0785170000
0.0395749221 0.0164515348 -0.0137206501 0.8315150000 -0.4967440000 -0.2486510000
0.0445749221 0.0205725348 -0.0131636501 0.4543830000 -0.8775850000 -0.1529080000
0.0517939221 0.0220245348 -0.0121806501 0.1258210000 -0.9863540000 -0.1061830000
-0.0313290779 0.0267795348 -0.0117316501 -0.8570060000 -0.4475040000 -0.2555000000
-0.0290520779 0.0234185348 -0.0126826501 -0.6315530000 -0.7251280000 -0.2744630000
0.0476559221 0.0228755348 -0.0152756501 0.2197690000 -0.9614030000 -0.1655480000
0.0536279221 0.0231635348 -0.0143946501 0.1423100000 -0.9788360000 -0.1470630000
0.0612989221 0.0253845348 -0.0141196501 0.5973470000 -0.7732280000 -0.2128270000
0.0654279221 0.0292975348 -0.0122966501 0.9399130000 -0.3348560000 -0.0665930000
-0.0673130779 0.0376845348 -0.0118526501 -0.0719830000 -0.9634310000 -0.2581070000
-0.0589800779 0.0378195348 -0.0118496501 -0.0303700000 -0.9795320000 -0.1989820000
-0.0493590779 0.0363455348 -0.0135296501 -0.4377290000 -0.8708290000 -0.2237180000
-0.0428030779 0.0349235348 -0.0139916501 -0.1097250000 -0.9748880000 -0.1937860000
-0.0353430779 0.0345445348 -0.0145516501 -0.1099810000 -0.9724550000 -0.2055130000
-0.0301580779 0.0342355348 -0.0152056501 -0.5097040000 -0.8419070000 -0.1771850000
0.0645789221 0.0324055348 -0.0147956501 0.8738450000 -0.4463880000 -0.1926990000
0.0690509221 0.0360355348 -0.0142176501 0.5903170000 -0.7881930000 -0.1740020000
0.0733869221 0.0381715348 -0.0130476501 0.6743770000 -0.7169630000 -0.1765790000
-0.0958400779 0.0453465348 -0.0120276501 -0.5653810000 -0.7773590000 -0.2757850000
-0.0905350779 0.0425035348 -0.0132566501 -0.3758920000 -0.8895080000 -0.2597710000
-0.0825920779 0.0402715348 -0.0124916501 -0.0585010000 -0.9906360000 -0.1233620000
-0.0752760779 0.0400925348 -0.0130346501 -0.1212150000 -0.9700630000 -0.2104390000
-0.0673170779 0.0393615348 -0.0142036501 -0.0809590000 -0.9452690000 -0.3160900000
-0.0589330779 0.0391835348 -0.0137466501 -0.0118980000 -0.9621850000 -0.2721370000
-0.0519520779 0.0393245348 -0.0151386501 -0.3496790000 -0.8895840000 -0.2938800000
0.0724479221 0.0388385348 -0.0165266501 0.6490310000 -0.7277300000 -0.2217380000
0.0756449221 0.0423155348 -0.0144546501 0.8661130000 -0.4642010000 -0.1853780000
-0.1002880779 0.0507335348 -0.0127046501 -0.8210480000 -0.4746590000 -0.3171420000
0.0775669221 0.0500405348 -0.0153046501 0.9857180000 -0.0571030000 -0.1584240000
-0.1032510779 0.0607405348 -0.0119256501 -0.9320760000 0.0787910000 -0.3535910000
-0.1007130779 0.0572645348 -0.0149576501 -0.8552090000 -0.0926590000 -0.5099330000
0.0773409221 0.0581615348 -0.0156446501 0.9932990000 -0.0251980000 -0.1127880000
-0.1030800779 0.0626225348 -0.0120006501 -0.9383310000 0.1536320000 -0.3097280000
-0.0992200779 0.0660745348 -0.0139696501 -0.7065440000 0.5016030000 -0.4991890000
-0.0927210779 0.0689435348 -0.0179026501 -0.5291800000 0.6032100000 -0.5967460000
0.0775059221 0.0657305348 -0.0152236501 0.9754620000 0.1353190000 -0.1736750000
-0.0961260779 0.0707575348 -0.0124716501 -0.5597400000 0.7125760000 -0.4229960000
-0.0909490779 0.0731155348 -0.0142966501 -0.4475400000 0.7759300000 -0.4445670000
-0.0824760779 0.0749545348 -0.0147456501 -0.0859240000 0.9254790000 -0.3689260000
-0.0748610779 0.0758905348 -0.0141696501 -0.1242210000 0.9234160000 -0.3631410000
-0.0685390779 0.0764035348 -0.0152956501 -0.1410250000 0.8967510000 -0.4194630000
-0.0583100779 0.0768165348 -0.0150506501 -0.0277550000 0.9288550000 -0.3694020000
-0.0509810779 0.0771715348 -0.0157556501 -0.4559730000 0.7987730000 -0.3924910000
-0.0161990779 0.0777615348 -0.0177126501 0.2348960000 0.9466380000 -0.2206840000
-0.0112960779 0.0775135348 -0.0172526501 0.1396520000 0.9813980000 -0.1317430000
